MS SubClass,Overall Qual,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,House Age,Remodel Age,Total SF,Total SF Plus Garage,Total Baths,Qual x SF,Exter Qual_Ord,Bsmt Qual_Ord,Heating QC_Ord,Kitchen Qual_Ord,Fireplace Qu_Ord,Functional_Ord,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__IDOTRR,Neighborhood__MeadowV,Neighborhood__NAmes,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__Other,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__Timber,House Style__2Story,House Style__SFoyer,Bldg Type__2fmCon,Bldg Type__Duplex,Bldg Type__Twnhs,Bldg Type__TwnhsE,Sale Condition__Other,Sale Condition__Partial,Sale Type__New,Sale Type__Other,Sale Type__WD ,Garage Type__BuiltIn,Garage Type__Detchd,Garage Type__Other,Foundation__CBlock,Foundation__PConc,Foundation__Slab,Exterior 1st__CemntBd,Exterior 1st__HdBoard,Exterior 1st__MetalSd,Exterior 1st__Stucco,Exterior 1st__VinylSd,Exterior 1st__Wd Sdng,Exterior 1st__WdShing,Exterior 2nd__CmentBd,Exterior 2nd__HdBoard,Exterior 2nd__MetalSd,Exterior 2nd__Stucco,Exterior 2nd__VinylSd,Exterior 2nd__Wd Sdng,Exterior 2nd__Wd Shng,Roof Style__Hip,MS Zoning__Other,MS Zoning__RL,MS Zoning__RM,Lot Shape__IR2,Lot Shape__Reg,Lot Config__CulDSac,Lot Config__Inside,Condition 1__Feedr,Condition 1__Norm,Condition 1__PosN,Garage Finish_Ord,Garage Finish x Garage Area,Garage Finish x Garage Cars,Garage Finish x Garage Area x Garage Cars,Garage Cars x Garage Area,Qual x SF Plus Garage,Qual x SF Plus Garage + Garage Finish x Garage Area,SaleYear,SaleMonth,SaleQuarter,Age Bucket_Ord,BsmtFin Type 1__ALQ,BsmtFin Type 1__BLQ,BsmtFin Type 1__GLQ,BsmtFin Type 1__LwQ,BsmtFin Type 1__Rec,BsmtFin Type 1__Unf,Season Sold__Fall,Season Sold__Spring,Season Sold__Summer,Season Sold__Winter
20,6,1960,1960,1080.0,1656,1656,1,1960.0,2.0,528.0,215000,50,50,2736.0,3264.0,1.0,16416.0,3,3.0,2,3,4.0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3.0,1584.0,6.0,3168.0,1056.0,19584.0,21168.0,2010,5,2,2,0,1,0,0,0,0,0,1,0,0
20,5,1961,1961,882.0,896,896,1,1961.0,1.0,730.0,105000,49,49,1778.0,2508.0,1.0,8890.0,3,3.0,3,3,0.0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1.0,730.0,1.0,730.0,730.0,12540.0,13270.0,2010,6,2,2,0,0,0,0,1,0,0,0,1,0
20,6,1958,1958,1329.0,1329,1329,1,1958.0,1.0,312.0,172000,52,52,2658.0,2970.0,1.5,15948.0,3,3.0,3,4,0.0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1.0,312.0,1.0,312.0,312.0,17820.0,18132.0,2010,6,2,2,1,0,0,0,0,0,0,0,1,0
20,7,1968,1968,2110.0,2110,2110,2,1968.0,2.0,522.0,244000,42,42,4220.0,4742.0,2.5,29540.0,4,3.0,5,5,3.0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3.0,1566.0,6.0,3132.0,1044.0,33194.0,34760.0,2010,4,2,2,1,0,0,0,0,0,0,1,0,0
60,5,1997,1998,928.0,928,1629,2,1997.0,2.0,482.0,189900,13,12,2557.0,3039.0,2.5,12785.0,3,4.0,4,3,3.0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3.0,1446.0,6.0,2892.0,964.0,15195.0,16641.0,2010,3,1,3,0,0,1,0,0,0,0,1,0,0
60,6,1998,1998,926.0,926,1604,2,1998.0,2.0,470.0,195500,12,12,2530.0,3000.0,2.5,15180.0,3,3.0,5,4,4.0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3.0,1410.0,6.0,2820.0,940.0,18000.0,19410.0,2010,6,2,3,0,0,1,0,0,0,0,0,1,0
120,8,2001,2001,1338.0,1338,1338,2,2001.0,2.0,582.0,213500,9,9,2676.0,3258.0,2.0,21408.0,4,4.0,5,4,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,3.0,1746.0,6.0,3492.0,1164.0,26064.0,27810.0,2010,4,2,4,0,0,1,0,0,0,0,1,0,0
120,8,1992,1992,1280.0,1280,1280,2,1992.0,2.0,506.0,191500,18,18,2560.0,3066.0,2.0,20480.0,4,4.0,5,4,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2.0,1012.0,4.0,2024.0,1012.0,24528.0,25540.0,2010,1,1,3,1,0,0,0,0,0,0,0,0,1
120,8,1995,1996,1595.0,1616,1616,2,1995.0,2.0,608.0,236500,15,14,3211.0,3819.0,2.0,25688.0,4,4.0,5,4,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2.0,1216.0,4.0,2432.0,1216.0,30552.0,31768.0,2010,3,1,3,0,0,1,0,0,0,0,1,0,0
60,7,1999,1999,994.0,1028,1804,2,1999.0,2.0,442.0,189000,11,11,2798.0,3240.0,2.5,19586.0,3,3.0,4,4,3.0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,3.0,1326.0,6.0,2652.0,884.0,22680.0,24006.0,2010,6,2,3,0,0,0,0,0,1,0,0,1,0
